STT	Cauhoi	1	2	3	4	Dapan
32	Đoạn thị trường có hiệu quả được hiểu là:	Một nhóm khách hàng mà doanh nghiệp có khả năng đáp ứng nhu cầu của họ	Có quy mô đủ lớn để tạo ra dòng tiền thu lớn hơn dòng tiền chi cho doanh nghiệp	Một nhóm khách hàng mà doanh nghiệp có khả năng đáp ứng mong muốn của họ	Bao gồm cả ba điều kiện trên.	4
33	Câu hỏi đóng có đặc trưng gì trong các đáp án sau:	Đưa lại khả năng cho người được hỏi trả lời bằng lý lẽ và ý kiến riêng của mình.	Chứa đựng toàn bộ các phương án có khả năng trả lời mà người được hỏi chỉ lựa chọn một trong số đó.	Có sẵn các câu trả lời mà người được hỏi có thể lựa chọn một vài đáp án trong đó.	Không đáp án nào đúng.	3
34	Những yếu tố nào không thuộc sản phẩm hiện thực:	Nhãn hiệu	Bao bi	Chất lượng.	Dịch vụ lắp đặt	4
35	Có thể khẳng định rằng:	Marketing và tiếp thị là hai hoạt động đồng nhất	Marketing và quảng cáo là hai hoạt động đồng nhất	Bản hàng là một khâu của hoạt động của marketing	Marketing và bán hàng là hai hoạt động đồng nhất	3
36	Phân đoạn thị trường theo cơ sở địa lý bao gồm các tiêu thức sau, ngoại trừ:	Quy mô gia đình	Vùng miền	Khí hậu.	Mật độ dân cư	1
37	Theo góc độ người mua, giá là:	Khoản tiền mà người mua phải trả cho người bán để có quyền sở hữu và sử dụng sản phẩm	Khoản tiền mà người bán đã tính toán hợp lý dựa trên giá thành sản xuất và lợi nhuận mong muốn của họ	Khoản tiền mà người mua phải trả cho người bán, nên họ mong muốn trả càng thấp càng tốt	Khoản tiền tương ứng với giá trị của sản phẩm	1
38	Điều nào sau đây đúng với danh mục hàng hoá?	Là một nhóm hàng hoá có liên quan chặt chẽ với nhau do một người bán cụ thể đem chào bán cho người mua	Là một nhóm hàng hoá cổ liên quan chặt chẽ với nhau và được doanh nghiệp chọn để tổ chức sản xuất và đưa ra thị trưởng	Là một nhóm hàng hoá có liên quan chặt chẽ với nhau do giống nhau về chức năng hay do bán chung cho cùng một nhóm khách hàng, hay cùng một kiểu phân phổi, hay cùng một dãy giá	Là tập hợp các nhóm chủng loại hàng hoá và các đơn vị hàng hoá do một người bán cụ thể đem chào bán cho người mua	4
39	Theo quan điểm marketing hiện đại, marketing là ...	Một dạng hoạt động của người tiêu dùng nhằm thỏa mãn những nhu cầu và mong muốn thông qua trao đổi.	Một dạng hoạt động của con người nhằm thỏa mãn những nhu cầu và mong muốn thông qua trao đổi.	Một dạng hoạt động của cá nhân nhằm thỏa mãn những nhu cầu và mong muốn thông qua trao đổi.	Một dạng hoạt động của tổ chức nhằm thỏa mãn những nhu cầu và mong muốn thông qua trao đổi.	2
40	Chọn một đoạn dưới đây để điền vào phần trống trong khái niệm …............ là tập hợp các đơn vị sàn phẩm do một người bán cụ thể đem chào bán cho người mua”	Chủng loại sản phẩm	Bề sâu chủng loại sản phẩm	Danh mục sản phẩm	Bề rộng chủng loại sản phẩm	3
41	Sự cân đối lợi nhuận của doanh nghiệp, thoả mãn nhu cầu của khách hàng và lợi ích xã hội là một đòi hỏi đối với nhà marketing theo quan điểm	Marketing đạo đức xã hội.	Marketing định hưởng thị trường.	Marketing định hướng sản phẩm.	Marketing định hướng sản xuất.	1
42	Đặt cửa hàng bán quần áo nữ trong ký túc xá sinh viên nữ là doanh nghiệp lựa chọn thị trường mục tiêu theo phương thức:	Tập trung vào một số đoạn thị trường.	Tập trung vào một đoạn thị trường.	Chuyên môn hoá theo sản phẩm.	Chuyên môn hoá theo thị trường.	2
43	Chiến lược marketing tập trung được hiểu là:	Xây dựng một chiến lược marketing - mix cho một số thị trường tổng thể	Xây dựng nhiều chiến lược marketing - mix cho thị trường tổng thể	Xây dựng các chiến lược marketing - mix khác nhau cho các đoạn thị trường tổng thể	Xây dựng một chiến lược marketing - mix duy nhất cho các nhóm khách hàng khác nhau	1
44	Sự hài lòng của khách hàng sau khi sử dụng hàng hóa tùy thuộc vào:	So sánh giữa giá trị tiêu dùng và kỳ vọng về sản phẩm	Kỳ vọng của người tiêu dùng về sản phẩm đó	So sánh giữa giá trị tiêu dùng và sự hoàn thiện của sản phẩm	Giá của hàng hóa đó cao hay thấp	1
45	Thông tin thứ cấp có thể thu thập từ các nguồn sau, ngoại trừ:	Các cuộc phỏng vấn khách hàng.	Báo cáo của các cuộc nghiên cứu trước.	Các ấn phẩm của cơ quan Nhà nước. 	Bảo cáo lỗ, lãi của doanh nghiệp.	1
46	Trong những ngày mới thành lập, công ty viễn thông VT cung ứng sản phẩm và dịch vụ với mức giá tương đối rẻ so với các doanh nghiệp khác trong cùng ngành. Đồng thời, công ty luôn không ngừng mở rộng danh mục các dịch vụ, gói cước điện thoại hấp dẫn để thu hút khách hàng. Như vậy, VT đã lựa chọn quan điểm quân trị marketing chủ đạo nào trong giai đoạn này?	Marketing tập trung vào sản xuất.	Marketing tập trung vào bán hàng.	Marketing tập trung vào sản phẩm.	Marketing tập trung vào khách hàng.	2
47	Để tim kiếm đoạn thị trường có hiệu quả, việc phân đoạn thị trường cần đảm bảo một số yêu cầu cơ bản sau, ngoại trừ:	Đo lường được và có quy mô đủ lớn	Không có sự khác biệt giữa các đoạn thị trường	Có tính khả thi	Có thể phân biệt được	2
48	Trao đổi không thể xảy ra được nếu thiếu các điều kiện sau đây, ngoại trừ:	Các bên được tự do trao đổi.	Hai bên đều có khả năng thực hiện hành vi trao đổi.	Hai bên được một bên nào đó thúc đẩy trao đổi.	Có hai bên có những vật có giá trị đối với bên kia và có ý định trao đổi.	3
49	Thuật ngữ nào đúng với phần trống trong khái niệm sau …................là một nhóm khách hàng có phản ứng như nhau đối với một tập hợp những kích thích marketing	Đoạn thị trường.	Người tiêu dùng.	Thị trường.	Nhóm khách hàng.	1
50	Khi quyết định về dịch vụ gắn liền với hàng hóa cung ứng cho khách hàng, người làm marketing phải giải quyết vấn đề sau:	Hình thức cung ứng dịch vụ	Mức độ dịch vụ cung ứng	Nội dung dịch vụ	Tất cả những vấn đề trên	4
51	Trong những điều kiện nêu ra dưới đây, điều kiện nào không nhất thiết phải thỏa mãn mà sự trao đổi tự nguyện vẫn diễn ra?	Mỗi bên được tự do chấp nhận hoặc từ chối đề nghị của bên kia.	Mỗi bên phải khả năng giao tiếp hoặc giao hàng	Ít nhất phải có 2 bên	Phái có sự trao đổi tiền giữa 2 bên	4
52	Hoạt động trao đổi mang tính thương mại được gọi là	Chuyển giao	Bán hàng	Giao dịch	Đổi hàng	3
53	Quan điểm tập trung vào sản xuất cho rằng: để thành công, doanh nghiệp cần ____:	Kích thích nhu cầu của khách hàng để tăng lượng bán	Bảo đảm lợi ích của khách hàng, doanh nghiệp và toàn xã hội	Sản xuất sản phầm với khối lượng lớn và mức giá rẻ	Hoàn thiện sản phẩm để thỏa mãn nhu cầu của khách hàng	3
54	Quan điểm tập trung hoàn thiện sản phẩm cho rằng: để thành công, doanh nghiệp cần _____	Xây dựng hệ thống cửa hàng hiện đại nhất	Tập trung sản xuất sản phẩm với giá thành rẻ	Tập trung mọi nguồn lực vào việc sản xuất ra những sản phẩm tốt nhất và không ngừng hoàn thiện nó	Chuú trọng đến lợi ích xã hội	3
55	Chiến lược định giá Hớt phần ngon cho sản phẩm mới là:	Đặt giá cao nhất	Đặt giá cao nhất có thể	DĐặt giá cao nhất so với các đối thủ cạnh tranh trong ngành	DĐặt giá cao hơn đối thủ cạnh tranh chính	2
56	Chiến lược bám chắc thị trường thường là	Đặt giá thấp nhằm hướng tới lợi nhuận trong dài hạn trên cơ sở có được thị phần lớn trong hiện tại	Đặt giá thấp nhằm theo đuổi mục tiêu giành được thị phần lớn	Khoông có phương án nào bên trên là đúng	Đặt giá thấp nhằm hướng tới lợi nhuận dài hạn trên cơ sở có được thị phần lớn trong hiện tại kết hợp với yếu tố hiệu quả theo quy mô	4
57	Đánh giá để lựa chọn thị trường mục tiêu cần dựa vào các tiêu thức sau, ngoại trừ:	Quy mô và tăng trưởng của thị trường	Ý đồ của lãnh đạo doanh nghiệp	Mục tiêu và khả năng của doanh nghiệp	Sự hấp dẫn của thị trường	2
58	Yếu tố nào không thuộc nhóm nhân khẩu:	Lạm phát	Quy mô và tốc độ tăng dân số	Cơ cấu dân số	Tốc độ đô thị hoá	
59	Lời phát biểu nào dưới đây thể hiện chính xác nhất quan điểm kinh doanh định hướng vào khách hàng:	Khách hàng đang cần sản phẩm Z, hãy tập trung nguồn lực sản xuất và marketing sản phẩm đó.	Chúng ta cố gắng bán những sản phẩm có chất lượng cao.	Doanh thu sẽ giảm hãy tập trung mọi khả năng để đẩy mạnh bán hàng.	Những chi phí cho khâu kiểm kê quá cao, chúng ta phải cắt giảm.	1
60	Xét theo chiều dài lịch sử, quan điểm quản trị marketing nào xuất hiện sớm nhất?	Marketing tập trung vào sản xuất.	Marketing tập trung vào khách hàng.	Marketing tập trung vào bán hàng.	Marketing tập trung vào sản phẩm	1
61	Những dữ liệu marketing sau đây đều là nguồn thông tin thứ cấp, ngoại trừ:	Một bài viết trên “Thời Báo kinh tế Việt Nam”	Quan sát khách hàng.	Thu thập giá bán lẻ từ các tạp chí marketing và báo chí chuyên ngành.	Dữ liệu của một tổ chức nghiên cứu.	2
62	Người tiêu dùng có thể là ...(1). hoặc ... (2).... hoặc...(3)..., đó là những người mua hàng hóa và dịch vụ để sử dụng cho cá nhân, hộ gia đình, tổ chức mà không nhằm mục đích bán lại.A. (1) cá nhân; (2) doanh nghiệp; (3) tư nhân.B. (1) doanh nghiệp; (2) hộ gia đình; (3) công cộng.C. (1) cá nhân; (2) hộ gia đình; (3) tổ chức.D. (1) doanh nghiệp; (2) hộ gia đình; (3) tư nhân.	(1) cá nhân; (2) doanh nghiệp; (3) tư nhân.	(1) doanh nghiệp; (2) hộ gia đình; (3) công cộng.	(1) cá nhân; (2) hộ gia đình; (3) tổ chức.	(1) doanh nghiệp; (2) hộ gia đình; (3) tư nhân.	3
63	Hoạt động kinh doanh theo định hướng marketing được hiểu đúng theo đáp án nào sau đây?	Tập trung sản xuất ra sản phẩm và tìm cách bán chúng.	Kích thích nhu cầu mua sắm của khách hàng để bán hàng.	Nghiên cứu nhu cầu của khách hàng và tìm cách thoả mãn nhu cầu của khách hàng trên cơ sở bảo đảm lợi ích khách hàng và mục tiêu của doanh nghiệp.	Hoàn thiện sản phẩm để đáp ứng nhu cầu của khách hàng.	3
64	Môi trường marketing vi mô bao gồm các yếu tố sau, ngoại trừ:	Thị trường và kênh marketing của doanh nghiệp.	Người cạnh tranh.	Các trung gian marketing.	Công nghệ và kỹ thuật.	4
65	TC là một doanh nghiệp chuyên sản xuất hàng mộc dân dụng mới ra đời. Tuy không phải là đơn vị có uy tín về các sản phẩm có độ bền hay kiểu dáng độc đáo, nhưng với một hệ thống cửa hàng được trưng bày bắt mắt, đội ngũ nhân viên bán hàng giàu kinh nghiệm được trả lương cao nên hầu như ít khách hàng nào có thể ra về mà không mua một món gì đó của họ. Với những đầu tư như vậy cho thấy TC đang theo đuổi quan điểm marketing nào sau đây?	Tập trung sản xuất 	Tập trung khách hàng.	Tập trung hoàn thiện sản phẩm.	Tập trung vào bán hàng.	4
66	Đáp án nào sau đây không thể hiện điểm khác nhau giữa quan điểm marketing định hướng khách hàng và quan điểm tập trung vào bán hàng?	Nghiên cứu thị trường, xác định khách hàng mục tiêu.	Sử dụng các chương trình khuyến mãi để khuyến khích khách hàng mua sản phẩm.	Tập trung vào sự hiểu biết nhu cầu của khách hàng.	Sử dụng công cụ marketing – mix phù hợp với nhu cầu của khách hàng mục tiêu.	4
67	Lựa chọn đáp án có câu nhận định đúng về quan điểm tập trung bán hàng? 	Nhà quản trị các doanh nghiệp cần phải tập trung vào việc tăng quy mô sản xuất và mở rộng phạm vi tiêu thụ.	Nhà quản trị các doanh nghiệp muốn thành công phải tập trung mọi nguồn lực vào việc tạo ra sản phẩm có chất lượng hoàn hảo nhất.	Nhà quản trị các doanh nghiệp muốn thành công cần phải tập trung mọi nguồn lực và sự cố gắng vào việc thúc đẩy tiêu thụ sản phẩm.	Nhà quản trị các doanh nghiệp muốn thành công cần phải xác định đúng cầu và mong muốn của thị trường mục tiêu và đáp ứng tốt bằng những phương thức ưu thế hơn đối thủ cạnh tranh.	3
68	Dựa vào nhu cầu tự nhiên của con người, nhà kinh doanh sẽ xác định được: *	các thông số và đặc tính cụ thể của sản phẩm mà thị trường cần	khả năng thanh toán của khách hàng.	một chủng loại sản phẩm để đáp ứng một loại nhu cầu	mong muốn của từng người hoặc một tập hợp người.	3
69	Khái niệm marketing hiện đại gợi ý rằng cơ hội lớn nhất mang lại thành công cho doanh nghiệp là:	Cung cấp những sản phẩm cải tiến liên tục.	Bảo đảm độ thoả dụng cao nhất cho người tiêu dùng.	Định giá bán sản phẩm cao để thu lợi nhuận.	Lượng sản phẩm bán tăng cao.	2
70	Theo quan điểm marketing, giá trị tiêu dùng sản phẩm được hiểu là:	Sự đánh giá của người tiêu dùng về khả năng của sản phẩm trong việc thỏa mãn nhu cầu của họ.	Lợi ích khách hàng nhận được từ dịch vụ hỗ trợ của người cung ứng.	Lợi ích khách hàng nhận được qua tiếp xúc với đội ngũ nhân sự của nhà cung ứng.	Lợi ích tinh thần khách hàng nhận được từ danh tiếng của nhà cung ứng.	1
71	Lựa chọn đáp án có câu nhận định đúng về quan điểm định hướng khách hàng?	Nhà quản trị các doanh nghiệp cần phải tập trung vào việc tăng quy mô sản xuất, hạ giá thành và mở rộng phạm vi tiêu thụ.	Nhà quản trị các doanh nghiệp muốn thành công phải tập trung mọi nguồn lực vào việc tạo ra sản phẩm có chất lượng hoàn hảo nhất.	Nhà quản trị các doanh nghiệp muốn thành công cần phải tập trung mọi nguồn lực và sự cố gắng vào việc thúc đẩy tiêu thụ và khuyến mại.	Nhà quản trị các doanh nghiệp muốn thành công cần phải xác định đúng nhu cầu và mong muốn của thị trường mục tiêu và đáp ứng tốt bằng những phương thức ưu thế hơn đối thủ cạnh tranh.	4
72	Yếu tố nào thuộc môi trường marketing vi mô:	Đối thủ cạnh tranh	Tự nhiên	Pháp luật	Văn hóa	1
73	Lựa chọn đáp án có câu nhận định đúng về quan điểm tập trung hoàn thiện sản phẩm?	Nhà quản trị các doanh nghiệp cần phải tập trung vào việc tăng quy mô sản xuất và mở rộng phạm vi tiêu thụ.	Nhà quản trị các doanh nghiệp muốn thành công phải tập trung mọi nguồn lực vào việc tạo ra sản phẩm có chất lượng hoàn hảo nhất vì mọi khách hàng đều ưa thích sản phẩm cao cấp.	Nhà quản trị các doanh nghiệp muốn thành công cần phải tập trung mọi nguồn lực và sự cố gắng vào việc thúc đẩy tiêu thụ và khuyến mại.	Nhà quản trị các doanh nghiệp muốn thành công cần phải xác định đúng cầu và mong muốn của thị trường mục tiêu và đáp ứng tốt bằng những phương thức ưu thế hơn đối thủ cạnh tranh.	2
74	Câu nói của Charles Revson, Chủ tịch hãng Mỹ phẩm Revlon: “Tại nhà máy chúng tôi sản xuất nước hoa, tại cửa hàng chúng tôi bán niềm hy vọng” cho thấy quan điểm quản trị marketing nào?	Marketing tập trung vào sản phẩm	Marketing đạo đức - xã hội	Marketing tập trung vào sản xuất	Marketing định hướng khách hàng	4
75	Đáp án nào thể hiện đúng mục tiêu kinh doanh của doanh nghiệp theo quan điểm marketing đạo đức xã hội?	Chú trọng hoạt động chăm sóc khách hàng	Doanh nghiệp cần đảm bảo hài hòa lợi ích của khách hàng, xã hội, doanh nghiệp.	Chú trọng hoạt động nghiên cứu marketing	Quan tâm tới nhu cầu và mong muốn của khách hàng	2
76	Sau khi thu thập dữ liệu, bước tiếp theo trong nghiên cứu marketing sẽ là:	Định ra giải pháp tốt nhất cho vấn đề.	Giải thích thông tin.	Phân tích thông tin.	Báo cáo kết quả	3
77	Công chúng trực tiếp của một doanh nghiệp là:	Một nhóm bất kỳ quan tâm hoặc có ảnh hưởng đến khả năng đạt tới các mục tiêu đề ra của doanh nghiệp	Là những chủ thể luôn muốn giành giật khách hàng của doanh nghiệp	Là các công ty chuyên tổ chức lưu thông hàng hóa	Là các tổ chức hỗ trợ tài chính cho doanh nghiệp	1
78	Lựa chọn câu nhận đúng về nhận biết nhu cầu trong các đáp án sau:	là cảm giác của người tiêu dùng về một sự khác biệt giữa trạng thái hiện có với trạng thái mong muốn	là việc người tiêu dùng tìm kiếm thông tin liên quan đến sản phẩm có thể thỏa mãn ước muốn của mình	là việc người tiêu dùng xử lý các thông tin để đánh giá các thương hiệu có khả năng thay thế nhau	là việc người tiêu dùng đưa ra quyết định mua	1
79	Quan điểm marketing tập trung vào hoàn thiện sản phẩm có thể áp dụng thành công trong điều kiện nào trong các đáp án sau đây?	Người tiêu dùng ưa thích sản phẩm giá rẻ.	Người tiêu dùng không đề cao chất lượng và tính năng mới của sản phẩm.	Người tiêu dùng ưa thích những sản phẩm có chất lượng cao nhất, nhiều công dụng và tính năng mới.	Nhu cầu về mua sắm sản phẩm vượt quá khả năng cung ứng.	3
80	Thành phần nào dưới đây không thuộc hệ thống thông tin marketing:	Hệ thống báo cáo nội bộ.	Hệ thống thu nhận thông tin từ môi trường.	Hệ thống tình báo marketing.	Hệ thống phân tích thông tin.	3
81	Dữ liệu sơ cấp có thể thu thập được bằng phương pháp:	Quan sát.	Thực nghiệm	Điều tra/ phỏng vấn	Tất cả các phương pháp trên	4
82	Môi trường marketing vi mô bao gồm các yếu tố sau, ngoại trừ:	Giới công chúng	Trung gian marketing	Nhà cung ứng	Tự nhiên	4
83	Nhà máy xe đạp Biên Hòa, trung thành với dòng sản phẩm xe đạp. Thời gian qua, nhà máy đã không ngừng cải tiến để xe đạp của mình luôn tốt hơn, đẹp hơn. Hiện nay, đây là nhà máy nổi tiếng với các kiểu xe đạp bền, đẹp. Doanh nghiệp này theo đuổi quan điểm marketing nào sau đây?	Tập trung sản xuất	Tập trung khách hàng.	Tập trung hoàn thiện sản phẩm.	Tập trung vào bán hàng	3
84	Dựa vào nhu cầu tự nhiên của con người, nhà kinh doanh sẽ xác định được gì? *	Một chủng loại sản phẩm để đáp ứng một loại nhu cầu	Các thông số và đặc tính cụ thể của sản phẩm mà thị trường cần	Khả năng thanh toán của khách hàng	Mong muốn của từng người hoặc một tập hợp người.	1
85	Sau khi thu thập các dữ liệu, bước kế tiếp trong tiến trình nghiên cứu marketing sẽ là:	Báo cáo những tìm tòi.	Phân tích thông tin.	Trình bày những kết luận cho quản lý.	Mong muốn của từng người hoặc một tập hợp người.	2
86	Đáp án nào thể hiện đúng quan điểm marketing hiện đại?	Một sản phẩm có chất lượng tốt và nhiều tính năng sẽ tự tìm được khách hàng	Nếu một khách hàng bị thuyết phục mua một sản phẩm, họ sẽ thích sản phẩm đó	Cần phải bán sản phẩm thật rộng rãi với giá hạ	Xác định khách hàng muốn gì rồi bán cho họ sản phẩm mà họ muốn	4
